키워드,접촉지점,단계,유형,근거
"라보에이치샴푸브러쉬",5-브랜드제품,5,브랜드제품,"라보에이치(브랜드)+샴푸브러쉬 제품"
"닥터지두피랩샴푸",5-브랜드제품,5,브랜드제품,"닥터지 브랜드 제품명 포함"
"머리여드름",3-증상,3,증상,"머리+여드름 증상 단독"
"더바디샵샴푸",5-브랜드제품,5,브랜드제품,"더바디샵 브랜드+샴푸"
"닥터라파알샴푸",5-브랜드제품,5,브랜드제품,"닥터라파알 브랜드+샴푸"
"닥터포헤어토닉",5-브랜드제품,5,브랜드제품,"닥터포헤어 브랜드+토닉 제품"
"비듬에좋은샴푸",5-카테고리,5,카테고리,"비듬 증상+샴푸 카테고리, 브랜드 없음"
"약국비듬샴푸",5-카테고리,5,카테고리,"약국채널+비듬샴푸 카테고리, 브랜드 없음"
"모다모다샴푸",5-브랜드제품,5,브랜드제품,"모다모다 브랜드+샴푸"
"해드엔숄더",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드 변형"
"머리각질제거샴푸",5-카테고리,5,카테고리,"각질 상태+샴푸 카테고리, 브랜드 없음"
"지루성샴푸추천",5-카테고리,5,카테고리,"지루성 질환+샴푸추천 카테고리"
"비듬제거",4-대안,4,대안,"비듬제거=해결방법, 제품 없음"
"머리두피각질",3-증상,3,증상,"두피 각질 상태 단독"
"두피보습샴푸",5-카테고리,5,카테고리,"두피보습 속성+샴푸 카테고리"
"비듬전용샴푸",5-카테고리,5,카테고리,"비듬 증상+전용샴푸 카테고리, 브랜드 없음"
"로마샴푸비교",5-브랜드제품,5,브랜드제품,"로마 브랜드+비교"
"아모스녹차실감샴푸지성",5-브랜드제품,5,브랜드제품,"아모스녹차실감 브랜드 제품명"
"미용실두피케어",4-대안,4,대안,"미용실 두피케어=방법/채널, 제품 없음"
"도브샴푸향",5-브랜드제품,5,브랜드제품,"도브 브랜드+향"
"아베다샴푸추천",5-브랜드제품,5,브랜드제품,"아베다 브랜드+추천"
"비듬샴푸니조랄",5-브랜드제품,5,브랜드제품,"니조랄 브랜드 포함"
"두피건조가려움",3-증상,3,증상,"건조+가려움 증상 단독"
"니조랄약국",5-브랜드제품,5,브랜드제품,"니조랄 브랜드+약국채널"
"헤드앤숄더클리니컬",5-브랜드제품,5,브랜드제품,"헤드앤숄더 클리니컬 제품라인"
"케라시스샴푸대용량",5-브랜드제품,5,브랜드제품,"케라시스 브랜드+대용량"
"두피각질제거샴푸",5-카테고리,5,카테고리,"각질제거 상태+샴푸 카테고리"
"헤드앤숄더크리니컬",5-브랜드제품,5,브랜드제품,"헤드앤숄더 클리니컬 제품라인 변형"
"머리각질",3-증상,3,증상,"머리 각질 상태 단독"
"로마샴푸공구",5-브랜드제품,5,브랜드제품,"로마 브랜드+공구"
"두피습진",3-증상,3,증상,"습진 증상/질환 단독"
"니조랄가격",5-브랜드제품,5,브랜드제품,"니조랄=브랜드 + 가격 → 구매직전 브랜드제품"
"피록톤올아민",4-대안,4,대안,"비듬방지 일반성분 단독, 브랜드 아님"
"노비프록스액",5-브랜드제품,5,브랜드제품,"노비프록스=특정 약물 브랜드제품명"
"두피건조증",3-증상,3,증상,"두피상태/증상 단독, 해결수단 없음"
"두피건조샴푸",5-카테고리,5,카테고리,"두피상태(건조)+샴푸, 브랜드 없는 카테고리"
"암웨이새티니크샴푸",5-브랜드제품,5,브랜드제품,"암웨이/새티니크 브랜드+샴푸"
"라보에이치앰플",5-브랜드제품,5,브랜드제품,"라보에이치 브랜드+앰플 제품형태"
"니조랄샴푸약국",5-브랜드제품,5,브랜드제품,"니조랄 브랜드+샴푸+약국 채널"
"바이브랩샴푸내돈내산",5-브랜드제품,5,브랜드제품,"바이브랩 브랜드+샴푸+내돈내산 후기"
"항진균스프레이",4-대안,4,대안,"항진균=일반 약물성분/방법, 브랜드 아님"
"헤드앤숄더샴푸가려운두피",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드+샴푸+증상"
"지성두피샴푸추천",5-카테고리,5,카테고리,"두피타입(지성)+샴푸+추천, 브랜드 없는 카테고리"
"머리속뾰루지",3-증상,3,증상,"머리+뾰루지 증상 단독"
"아로마티카두피",5-브랜드제품,5,브랜드제품,"아로마티카=브랜드, 두피제품 지칭"
"약국샴푸",5-카테고리,5,카테고리,"약국 속성 샴푸 카테고리, 브랜드 없음"
"세정력좋은샴푸",5-카테고리,5,카테고리,"속성(세정력)+샴푸 일반 카테고리"
"두피건조에센스",5-카테고리,5,카테고리,"두피상태(건조)+에센스 제품 카테고리, 브랜드 없음"
"해드앤숄더클리니컬",5-브랜드제품,5,브랜드제품,"헤드앤숄더 변형+클리니컬 제품라인"
"해드엔숄더샴푸",5-브랜드제품,5,브랜드제품,"헤드앤숄더 변형 브랜드+샴푸"
"코스트코려샴푸",5-브랜드제품,5,브랜드제품,"려 브랜드+샴푸+코스트코 채널"
"아로마티카샴푸티트리",5-브랜드제품,5,브랜드제품,"아로마티카 브랜드+샴푸+티트리 라인"
"케토코나졸연고",4-대안,4,대안,"케토코나졸=일반성분+연고 제형, 브랜드 아님"
"아베다샴푸어",5-브랜드제품,5,브랜드제품,"아베다 브랜드+샴푸 제품"
"헤드앤숄더클리니컬스트랭스",5-브랜드제품,5,브랜드제품,"헤드앤숄더 클리니컬스트렝스 제품라인"
"헤드앤숄더직구",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드+직구"
"케라시스샴푸",5-브랜드제품,5,브랜드제품,"케라시스 브랜드+샴푸"
"민감성두피샴푸",5-카테고리,5,카테고리,"두피타입(민감성)+샴푸, 브랜드 없는 카테고리"
"두피케어",4-대안,4,대안,"두피케어 단독=방법/관리 탐색"
"도브샴푸비누",5-브랜드제품,5,브랜드제품,"도브 브랜드+샴푸/비누 제품"
"두피지루성두피염",3-증상,3,증상,"지루성두피염 질환명 단독, 해결수단 없음"
"두피관리제품",5-카테고리,5,카테고리,"브랜드 없는 매우 광범위한 제품 카테고리 검색, 구매의도 있으나 범위 넓음"
"헤드앤숄더샴푸종류",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드+종류 탐색"
"더모베이트액효과",5-브랜드제품,5,브랜드제품,"더모베이트=약물 브랜드명+효과"
"도브샴푸추천",5-브랜드제품,5,브랜드제품,"도브 브랜드+추천"
"두피여드름샴푸",5-카테고리,5,카테고리,"증상(여드름)+샴푸, 브랜드 없는 카테고리"
"엘라스틴샴푸하듯",5-브랜드제품,5,브랜드제품,"엘라스틴 브랜드명 포함"
"머리가려움증",3-증상,3,증상,"머리+가려움 증상 단독, 해결수단 없음"
"아윤채샴푸",5-브랜드제품,5,브랜드제품,"아윤채 브랜드+샴푸"
"도브센스티브바",5-브랜드제품,5,브랜드제품,"도브 브랜드+제품(센스티브바)"
"기름진머리샴푸",5-카테고리,5,카테고리,"두피상태(기름진)+샴푸, 브랜드 없는 카테고리"
"살림백서샴푸",5-브랜드제품,5,브랜드제품,"살림백서 브랜드+샴푸"
"코스트코동구밭샴푸바",5-브랜드제품,5,브랜드제품,"채널(코스트코)+동구밭 브랜드+제품"
"메디큐브샴푸",5-브랜드제품,5,브랜드제품,"메디큐브 브랜드+샴푸"
"바이브랩두피영양제",5-브랜드제품,5,브랜드제품,"바이브랩 브랜드+제품(두피영양제)"
"피토페시아샴푸",5-브랜드제품,5,브랜드제품,"피토페시아 브랜드+샴푸"
"바이아우어샴푸",5-브랜드제품,5,브랜드제품,"바이아우어 브랜드+샴푸"
"셀프두피케어",4-대안,4,대안,"셀프 두피케어=해결 방법 탐색"
"프레드나액",5-브랜드제품,5,브랜드제품,"프레드나=약물 브랜드명+제품(액)"
"비듬케어",4-대안,4,대안,"비듬케어=방법성이나 증상/방법 애매"
"머리부스럼",3-증상,3,증상,"머리+부스럼 증상 단독"
"머리모낭염",3-증상,3,증상,"머리+모낭염 상태 단독, 해결수단 없음"
"다이소케라시스샴푸",5-브랜드제품,5,브랜드제품,"채널(다이소)+케라시스 브랜드+샴푸"
"에르노브샴푸",5-브랜드제품,5,브랜드제품,"에르노브 브랜드+샴푸"
"도브샴푸",5-브랜드제품,5,브랜드제품,"도브 브랜드+샴푸"
"헤드앤숄더비듬샴푸",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드 포함(증상어 동반이나 브랜드 우선)"
"올리브영 두피팩",5-카테고리,5,카테고리,"채널(올리브영)+카테고리(두피팩), 브랜드 없음"
"춈미로마샴푸",5-브랜드제품,5,브랜드제품,"춈미로마(로마) 브랜드+샴푸"
"네이처리퍼블릭샴푸",5-브랜드제품,5,브랜드제품,"네이처리퍼블릭 브랜드+샴푸"
"케토코나졸연고모낭염",4-대안,4,대안,"케토코나졸=일반성분(연고)+증상, 브랜드 아님"
"피록톤올아민샴푸",5-카테고리,5,카테고리,"성분(피록톤올아민)+샴푸, 4냐 5냐 애매"
"바이오가샴푸",5-브랜드제품,5,브랜드제품,"바이오가는 브랜드명 + 샴푸이므로 5-브랜드제품"
"건성용샴푸",5-카테고리,5,카테고리,"두피타입(건성)+샴푸, 브랜드 없는 카테고리 샴푸"
"아로마티카티트리",5-브랜드제품,5,브랜드제품,"아로마티카 브랜드 + 티트리 제품속성"
"비듬가려움샴푸",5-카테고리,5,카테고리,"증상(비듬·가려움)+샴푸, 브랜드 없는 카테고리 샴푸"
"지루성두피염샴푸내돈내산",5-카테고리,5,카테고리,"질환+샴푸 카테고리 검색(내돈내산은 후기성이나 브랜드 없으므로 카테고리)"
"도브샴푸바",5-브랜드제품,5,브랜드제품,"도브 브랜드 + 샴푸바 제품형태"
"닥터그루트 스칼프 솔루션",5-브랜드제품,5,브랜드제품,"닥터그루트 브랜드 + 제품라인명"
"쿤달샴푸향",5-브랜드제품,5,브랜드제품,"쿤달 브랜드 + 향(제품속성)"
"니조랄샴푸모낭염",5-브랜드제품,5,브랜드제품,"니조랄 브랜드 샴푸 + 증상, 브랜드 포함"
"홍현희샴푸내돈내산",5-브랜드제품,5,브랜드제품,"홍현희 브랜드 + 후기(내돈내산)"
"아로마티카샴푸리필",5-브랜드제품,5,브랜드제품,"아로마티카 브랜드 + 리필(제품속성)"
"코스트코아로마티카샴푸",5-브랜드제품,5,브랜드제품,"채널(코스트코)+아로마티카 브랜드 샴푸"
"두피디톡스",4-대안,4,대안,"두피케어 방법(디톡스), 제품·브랜드 없음"
"건성두피각질",3-증상,3,증상,"두피타입+증상(각질) 상태 검색, 해결수단 없음"
"바이오메드샴푸",5-브랜드제품,5,브랜드제품,"바이오메드는 브랜드명 + 샴푸이므로 5-브랜드제품"
"지루성두피염원인",3-증상,3,증상,"질환+원인 검색, 증상/원인 탐색 단계"
"비듬샴푸추천",5-카테고리,5,카테고리,"비듬샴푸 카테고리+추천, 브랜드 없는 구매의도"
"떡진머리샴푸",5-카테고리,5,카테고리,"두피상태(떡진머리)+샴푸 카테고리"
"지성탈모샴푸",5-카테고리,5,카테고리,"두피타입(지성)+증상+샴푸 카테고리, 브랜드 없음"
"항진균제샴푸",5-카테고리,5,카테고리,"성분군(항진균제)+샴푸 카테고리, 브랜드 없음"
"두피비듬샴푸",5-카테고리,5,카테고리,"증상(두피비듬)+샴푸 카테고리"
"닥터포헤어스칼프팩",5-브랜드제품,5,브랜드제품,"닥터포헤어 브랜드 + 스칼프팩 제품"
"닥터방기원샴푸",5-브랜드제품,5,브랜드제품,"닥터방기원 브랜드 + 샴푸"
"두피붉은기",3-증상,3,증상,"두피+증상(붉은기) 상태 검색, 해결수단 없음"
"민감성샴푸",5-카테고리,5,카테고리,"두피타입(민감성)+샴푸 카테고리"
"지루성두피염탈모",3-증상,3,증상,"질환+증상연관(탈모), 증상 탐색 단계"
"지성용샴푸",5-카테고리,5,카테고리,"두피타입(지성)+샴푸 카테고리"
"판테놀샴푸",5-카테고리,5,카테고리,"성분(판테놀)+샴푸 일반 카테고리"
"초등비듬샴푸",5-카테고리,5,카테고리,"대상(초등)+비듬샴푸 카테고리, 브랜드 없음"
"비듬샴푸",5-카테고리,5,카테고리,"증상(비듬)+샴푸 대표 카테고리 샴푸"
"지루성두피염",3-증상,3,증상,"질환명 단독, 제품·해결수단 없음"
"헤어케어",5-카테고리,5,카테고리,"매우 광범위한 헤어케어 영역어, 구매 카테고리로 분류하나 애매"
"쿤달샴푸브러쉬",5-브랜드제품,5,브랜드제품,"쿤달 브랜드+브러쉬 제품, 구매 직전"
"두피트러블샴푸",5-카테고리,5,카테고리,"증상(트러블)+샴푸, 브랜드 없는 카테고리 구매의도"
"건조한두피",3-증상,3,증상,"두피상태/타입 단독, 제품 없음"
"올리브영두피팩",5-카테고리,5,카테고리,"채널+카테고리(브랜드 없음), 판단 애매"
"밀크바오밥샴푸",5-브랜드제품,5,브랜드제품,"밀크바오밥 브랜드 샴푸"
"쿤달샴푸향추천",5-브랜드제품,5,브랜드제품,"쿤달 브랜드+향/추천, 5-브랜드제품"
"려샴푸",5-브랜드제품,5,브랜드제품,"려 브랜드 샴푸"
"헤드앤숄더쿨멘솔",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드+쿨멘솔 제품라인"
"헤드앤숄더가려운두피",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드+증상, 5-브랜드제품"
"케토코나졸",4-대안,4,대안,"일반 약물성분 단독(브랜드 아님)"
"두피트러블",3-증상,3,증상,"증상/상태어 단독, 제품 없음"
"머리딱지",3-증상,3,증상,"머리+증상(딱지) 상태, 제품 없음"
"노비프록스샴푸",5-브랜드제품,5,브랜드제품,"노비프록스 약물 브랜드명 제품"
"아베다샴푸",5-브랜드제품,5,브랜드제품,"아베다 브랜드 샴푸"
"천연샴푸추천",5-카테고리,5,카테고리,"속성군(천연)샴푸+추천, 브랜드 없는 카테고리"
"쿤달샴푸",5-브랜드제품,5,브랜드제품,"쿤달 브랜드 샴푸"
"비듬없애는샴푸",5-카테고리,5,카테고리,"증상(비듬)+샴푸, 브랜드 없는 카테고리 구매의도"
"머리기름기제거",4-대안,4,대안,"증상인지 방법(제거)인지 애매, 제거=방법성으로 4 분류"
"지루성두피염샴푸추천",5-카테고리,5,카테고리,"질환+샴푸+추천, 브랜드 없는 카테고리"
"지루성두피염한의원",4-대안,4,대안,"채널(한의원)+질환, 치료 탐색"
"두피샴푸",5-카테고리,5,카테고리,"두피상태+샴푸, 브랜드 없는 카테고리"
"아윤채샴푸종류",5-브랜드제품,5,브랜드제품,"아윤채 브랜드+종류, 5-브랜드제품"
"머리뾰루지",3-증상,3,증상,"머리+증상(뾰루지) 상태, 제품 없음"
"지루성두피염약국",4-대안,4,대안,"채널(약국)+질환, 치료 탐색"
"머리각질제거",4-대안,4,대안,"제거=방법성, 치료/제거법 탐색"
"두피스켈프",3-증상,3,증상,"두피/스칼프 상태어로 보이나 모호, 제품·방법 없음"
"지루성샴푸",5-카테고리,5,카테고리,"질환(지루성)+샴푸, 브랜드 없는 카테고리"
"지루피부염",3-증상,3,증상,"질환명 단독, 제품·해결수단 없음"
"헤드스파7샴푸",5-브랜드제품,5,브랜드제품,"헤드스파7은 브랜드명, 브랜드+샴푸이므로 브랜드제품"
"미녹시딜샴푸",5-카테고리,5,카테고리,"미녹시딜은 일반성분이나 샴푸 붙으면 5-카테고리(기준 명시)"
"두피기름",3-증상,3,증상,"두피+피지/기름 상태어 단독, 증상"
"빅그린샴푸",5-브랜드제품,5,브랜드제품,"빅그린은 브랜드명, 브랜드+샴푸이므로 브랜드제품"
"시세이도샴푸",5-브랜드제품,5,브랜드제품,"시세이도는 브랜드명, 브랜드+샴푸이므로 브랜드제품"
"다이소모다모다샴푸",5-브랜드제품,5,브랜드제품,"채널(다이소)+브랜드(모다모다)+샴푸, 브랜드제품"
"두피가려움병원",4-대안,4,대안,"병원 채널+두피가려움 증상, 치료채널 탐색이므로 대안"
"두피각질케어",4-대안,4,대안,"두피각질케어/관리는 방법성, 다만 증상/방법 애매"
"엘라스틴샴푸",5-브랜드제품,5,브랜드제품,"엘라스틴은 브랜드명, 브랜드+샴푸이므로 브랜드제품"
"샴푸계면활성제",4-대안,4,대안,"성분(계면활성제) 일반어 탐색, 브랜드 없음, 방법/성분 탐색"
"니조랄처방",5-브랜드제품,5,브랜드제품,"니조랄은 브랜드, +처방이므로 브랜드제품"
"헤드앤숄더비듬",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드+비듬, 브랜드제품"
"약용샴푸",5-카테고리,5,카테고리,"속성/성분군 샴푸(일반어), 5-카테고리"
"니조랄샴푸가격",5-브랜드제품,5,브랜드제품,"니조랄 브랜드+샴푸+가격, 브랜드제품"
"더마프샴푸",5-브랜드제품,5,브랜드제품,"더마프는 브랜드명, 브랜드+샴푸이므로 브랜드제품"
"덴트롤샴푸",5-브랜드제품,5,브랜드제품,"덴트롤은 브랜드명, 브랜드+샴푸이므로 브랜드제품"
"두피가려움샴푸추천",5-카테고리,5,카테고리,"증상+샴푸+추천, 브랜드 없는 카테고리샴푸 추천"
"아로마티카티트리토닉",5-브랜드제품,5,브랜드제품,"아로마티카 브랜드+티트리/토닉 제품, 브랜드제품"
"니조랄사용법",5-브랜드제품,5,브랜드제품,"니조랄 브랜드+사용법, 브랜드제품"
"지루성두피샴푸",5-카테고리,5,카테고리,"질환/상태+샴푸, 브랜드 없는 카테고리샴푸"
"헤드앤숄더프로페셔널",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드+프로페셔널 제품라인, 브랜드제품"
"두피뾰루지원인",3-증상,3,증상,"두피뾰루지+원인, 원인 질문이므로 증상"
"두피각질제거",4-대안,4,대안,"~제거 방법 탐색(머리각질제거류), 대안"
"두피클렌징",4-대안,4,대안,"두피클렌징은 방법/케어, 대안"
"헤드앤숄더크리니컬스트렝스",5-브랜드제품,5,브랜드제품,"헤드앤숄더 클리니컬스트렝스 제품라인, 브랜드제품"
"두피뾰루지",3-증상,3,증상,"두피+뾰루지 증상어 단독, 증상"
"두피각질관리",4-대안,4,대안,"두피각질케어/관리는 방법성, 증상/방법 애매"
"약산성천연샴푸",5-카테고리,5,카테고리,"약산성천연샴푸 속성/성분군 일반어 샴푸, 5-카테고리"
"비듬없애는방법",4-대안,4,대안,"~없애는방법, 해결법 탐색이므로 대안"
"부러우먼샴푸",5-브랜드제품,5,브랜드제품,"부러우먼은 브랜드명, 브랜드+샴푸이므로 브랜드제품"
"헤드앤숄더 비듬샴푸",5-브랜드제품,5,브랜드제품,"헤드앤숄더 브랜드명 포함, 비듬샴푸 카테고리 결합"
"헤드앤숄더",5-브랜드제품,5,브랜드제품,"유명 비듬샴푸 브랜드명 단독"
"닥터방기원트리트먼트",5-브랜드제품,5,브랜드제품,"닥터방기원 브랜드+트리트먼트 제품"
"제이숲샴푸",5-브랜드제품,5,브랜드제품,"제이숲 브랜드명+샴푸"
"머리가가려워요",3-증상,3,증상,"머리+가려움 증상 호소, 해결수단 없음"
"지성두피샴푸",5-카테고리,5,카테고리,"지성두피 타입+샴푸, 브랜드 없는 카테고리"
"헤드앤숄더클리니컬스트렝스",5-브랜드제품,5,브랜드제품,"헤드앤숄더 클리니컬스트렝스 제품라인"
"머리비듬약",4-대안,4,대안,"비듬+약(치료제), 일반 해결수단 탐색"
"새티니크샴푸",5-브랜드제품,5,브랜드제품,"새티니크(암웨이) 브랜드명+샴푸"
"닥터란탈모샴푸",5-브랜드제품,5,브랜드제품,"닥터란 브랜드명+탈모샴푸"
"지성두피",3-증상,3,증상,"두피 타입/상태 단독, 해결수단 없음"
"두피각질",3-증상,3,증상,"두피+각질 상태어 단독"
"엔타도라샴푸",5-브랜드제품,5,브랜드제품,"엔타도라 브랜드명+샴푸"
"도브샴푸종류",5-브랜드제품,5,브랜드제품,"도브 브랜드+종류(구매탐색)"
"항진균샴푸",5-카테고리,5,카테고리,"항진균 속성+샴푸, 브랜드 없는 카테고리"
"히스테모샴푸",5-브랜드제품,5,브랜드제품,"히스테모 브랜드명+샴푸"
"리피트인샴푸",5-브랜드제품,5,브랜드제품,"리피트인 브랜드명+샴푸"
"헤어케어제품",5-카테고리,5,카테고리,"매우 광범위한 헤어케어제품 카테고리"
"알페신샴푸",5-브랜드제품,5,브랜드제품,"알페신 브랜드명+샴푸"
"아로마티카샴푸",5-브랜드제품,5,브랜드제품,"아로마티카 브랜드명+샴푸"
"닥터지샴푸",5-브랜드제품,5,브랜드제품,"닥터지 브랜드명+샴푸"
"초등학생샴푸",5-카테고리,5,카테고리,"초등 대상 일반 카테고리 샴푸, 브랜드 없음"
"머리건선",3-증상,3,증상,"머리+건선 질환/상태 단독"
"두피간지러움샴푸",5-카테고리,5,카테고리,"증상(간지러움)+샴푸, 브랜드 없는 카테고리"
"러쉬샴푸바",5-브랜드제품,5,브랜드제품,"러쉬 브랜드+샴푸바 제품"
"부케가르니샴푸",5-브랜드제품,5,브랜드제품,"부케가르니 브랜드명+샴푸"
"두피염샴푸",5-카테고리,5,카테고리,"두피염 증상+샴푸, 브랜드 없는 카테고리"
"머리지루성피부염",3-증상,3,증상,"머리+지루성피부염 질환명 단독"
"이스터스칼프샴푸",5-브랜드제품,5,브랜드제품,"이스터 브랜드+스칼프샴푸 제품"
"두피열내리는법",4-대안,4,대안,"두피열 내리는 방법 탐색, 제품 아님"
"징크피리치온샴푸",5-카테고리,5,카테고리,"성분군(징크피리치온) + 샴푸, 브랜드 없는 카테고리 검색"
"닥터그루트샴푸",5-브랜드제품,5,브랜드제품,"닥터그루트는 브랜드명"
"코스트코알페신샴푸",5-브랜드제품,5,브랜드제품,"채널(코스트코)+브랜드(알페신)"
"로마샴푸후기",5-브랜드제품,5,브랜드제품,"브랜드(로마)+후기, 구매 직전"
"케토코나졸연고가격",4-대안,4,대안,"일반성분(케토코나졸) 연고+가격, 브랜드 아님"
"지루성두피염증상",3-증상,3,증상,"질환명+증상, 문제 탐색 단계"
"두피건선치료",4-대안,4,대안,"질환+치료, 해결법 탐색"
"머리간지러움",3-증상,3,증상,"머리+증상어(간지러움) 단독"
"두피여드름",3-증상,3,증상,"두피+증상어(여드름) 단독"
"비듬치료제",4-대안,4,대안,"치료제, 일반 해결수단 탐색"
"닥터포헤어샴푸",5-브랜드제품,5,브랜드제품,"닥터포헤어는 브랜드명"
"두피피지",3-증상,3,증상,"두피+상태어(피지) 단독"
"지루성피부염증상",3-증상,3,증상,"질환명+증상, 문제 탐색"
"가려운두피샴푸",5-카테고리,5,카테고리,"증상(가려운)+샴푸, 브랜드 없는 카테고리"
"두피가려움증",3-증상,3,증상,"두피+증상어(가려움증) 단독"
"웰라샴푸",5-브랜드제품,5,브랜드제품,"웰라는 브랜드명"
"건선샴푸",5-카테고리,5,카테고리,"질환(건선)+샴푸, 브랜드 없는 카테고리"
"건선두피",3-증상,3,증상,"질환+두피 상태 단독, 샴푸/치료 없음"
"각질샴푸",5-카테고리,5,카테고리,"속성(각질)+샴푸, 일반 카테고리"
"살리실산샴푸",5-카테고리,5,카테고리,"성분(살리실산)+샴푸, 브랜드 없는 카테고리"
"머리염증",3-증상,3,증상,"머리+증상어(염증) 단독"
"두피피부염",3-증상,3,증상,"두피+피부염(상태/질환) 단독"
"두피염증",3-증상,3,증상,"두피+증상어(염증) 단독"
"두피가려움",3-증상,3,증상,"두피+증상어(가려움) 단독"
"두피진물",3-증상,3,증상,"두피+증상어(진물) 단독"
"헤드웍스샴푸",5-브랜드제품,5,브랜드제품,"헤드웍스는 브랜드명"
"모낭염샴푸",5-카테고리,5,카테고리,"질환(모낭염)+샴푸, 브랜드 없는 카테고리"
"마이녹셀샴푸",5-브랜드제품,5,브랜드제품,"마이녹셀은 브랜드명(미녹시딜과 구분)"
"다이소엘라스틴샴푸",5-브랜드제품,5,브랜드제품,"채널(다이소)+브랜드(엘라스틴)"
"지루성두피염피부과",4-대안,4,대안,"질환+채널(피부과), 치료 채널 탐색"
"로마샴푸임산부",5-브랜드제품,5,브랜드제품,"브랜드(로마/춈미로마)+임산부=구매직전"
"비듬생기는이유",3-증상,3,증상,"비듬 원인 질문, 해결수단 없음"
"바이아우어샴푸내돈내산",5-브랜드제품,5,브랜드제품,"브랜드(바이아우어)+내돈내산 후기"
"쿤달샴푸일랑일랑",5-브랜드제품,5,브랜드제품,"브랜드(쿤달)+일랑일랑 향 라인"
"로마샴푸",5-브랜드제품,5,브랜드제품,"특정 브랜드(로마/춈미로마)명"
"니조랄케토코나졸샴푸",5-브랜드제품,5,브랜드제품,"니조랄=브랜드, 성분명 병기해도 브랜드제품"
"황화셀레늄",4-대안,4,대안,"일반 약물성분명, 브랜드 아님"
